     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
     20753,        49,         0,   0.008,blind_mwpm,f157ffd18a98ca210aab4960a95dfe629617a838f1e897e3efaf1d128b6c65d3,"{""config"":""baseline_pauli"",""d"":3,""p"":0.0014677992676220691,""r_e"":0.0,""rounds"":3}",
     16657,       123,         0,   0.008,blind_mwpm,b33e36ff62adcc27fc46c7b22864c2c494b6c1e067e69726c1959469ded7048f,"{""config"":""baseline_pauli"",""d"":3,""p"":0.0031622776601683794,""r_e"":0.0,""rounds"":3}",
     23825,        20,         0,   0.008,blind_mwpm,9dcd0aafe85fab3a11c0d07970a000ed0b650b14f30e3b0be9a077ec376ccd8e,"{""config"":""baseline_pauli"",""d"":3,""p"":0.001,""r_e"":0.0,""rounds"":3}",
     21777,        41,         0,   0.008,herald_mwpm,df968d85de93bf777d6ace14195cc1b56483f4736ec4dedbd614df7d165df2be,"{""config"":""baseline_pauli"",""d"":3,""p"":0.0014677992676220691,""r_e"":0.0,""rounds"":3}",
     19729,        75,         0,   0.008,herald_mwpm,8e6e02aef3344956cffd45135a13c66a0b864d4b72bf7a1fc93687f67360cdc8,"{""config"":""baseline_pauli"",""d"":3,""p"":0.0021544346900318843,""r_e"":0.0,""rounds"":3}",
     21777,        26,         0,   0.008,herald_mwpm,f3368ca50677f94658bea7d5e82bc9c9c97ec4b58b0f3ef5f613395b6a8f8a20,"{""config"":""baseline_pauli"",""d"":3,""p"":0.001,""r_e"":0.0,""rounds"":3}",
     17681,       132,         0,   0.008,herald_mwpm,53d1528eb0c5e72cdc53ab88af2d6fb0611f6f419a566ffe3ff596b6b40a10d5,"{""config"":""baseline_pauli"",""d"":3,""p"":0.0031622776601683794,""r_e"":0.0,""rounds"":3}",
     20753,        86,         0,   0.008,blind_mwpm,7730a148cd02918993eb44df5f502d1fd7e39b00c24646361c5210fd91794e95,"{""config"":""baseline_pauli"",""d"":3,""p"":0.0021544346900318843,""r_e"":0.0,""rounds"":3}",
     31744,        74,         0,   0.010,blind_mwpm,f157ffd18a98ca210aab4960a95dfe629617a838f1e897e3efaf1d128b6c65d3,"{""config"":""baseline_pauli"",""d"":3,""p"":0.0014677992676220691,""r_e"":0.0,""rounds"":3}",
     23552,       206,         0,   0.011,blind_mwpm,b33e36ff62adcc27fc46c7b22864c2c494b6c1e067e69726c1959469ded7048f,"{""config"":""baseline_pauli"",""d"":3,""p"":0.0031622776601683794,""r_e"":0.0,""rounds"":3}",
