     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
      4369,         5,         0,   0.010,blind_mwpm,0ebb19866f4ba479349f752983be8205ffe7fe67cad03a780a72bca3d65f7cc6,"{""config"":""erasure_r50"",""d"":3,""p"":0.001,""r_e"":0.5,""rounds"":3}",
      5393,        11,         0,   0.009,blind_mwpm,01b3905bd962662a440b0d052a16ec023f61ecbeccf404f0f582a2c9c99dddbd,"{""config"":""erasure_r50"",""d"":3,""p"":0.0014677992676220691,""r_e"":0.5,""rounds"":3}",
       273,         0,         0,   0.009,herald_mwpm,74ca0bd2b4524eb8e05724605c51245df32f71bd4b900b26b3effba6a58134dc,"{""config"":""erasure_r50"",""d"":3,""p"":0.001,""r_e"":0.5,""rounds"":3}",
       273,         1,         0,   0.015,herald_mwpm,598619793ab11a84ccb4ee6e10f9a4c8d0ae0be55919733e28dc416913cee39e,"{""config"":""erasure_r50"",""d"":3,""p"":0.0031622776601683794,""r_e"":0.5,""rounds"":3}",
      6417,        17,         0,   0.009,blind_mwpm,6e5a4ac2ccb4563033a18624d5c27a70e1286b698d77d03607a1cc3afad82413,"{""config"":""erasure_r50"",""d"":3,""p"":0.0021544346900318843,""r_e"":0.5,""rounds"":3}",
      1297,         0,         0,   0.018,herald_mwpm,162b3b6367bfdac10954b563c3b03050cdc3e4d9581f9d29d0322c5fef08dccf,"{""config"":""erasure_r50"",""d"":3,""p"":0.0014677992676220691,""r_e"":0.5,""rounds"":3}",
     13312,         9,         0,   0.013,blind_mwpm,0ebb19866f4ba479349f752983be8205ffe7fe67cad03a780a72bca3d65f7cc6,"{""config"":""erasure_r50"",""d"":3,""p"":0.001,""r_e"":0.5,""rounds"":3}",
      2048,         1,         0,   0.014,herald_mwpm,74ca0bd2b4524eb8e05724605c51245df32f71bd4b900b26b3effba6a58134dc,"{""config"":""erasure_r50"",""d"":3,""p"":0.001,""r_e"":0.5,""rounds"":3}",
     11264,        21,         0,   0.013,blind_mwpm,01b3905bd962662a440b0d052a16ec023f61ecbeccf404f0f582a2c9c99dddbd,"{""config"":""erasure_r50"",""d"":3,""p"":0.0014677992676220691,""r_e"":0.5,""rounds"":3}",
      1297,         1,         0,   0.016,herald_mwpm,ad0bfc571e2ef2f58042f8be2a3eb605d1fa4bdb0eaf50e9841bf0e57d0c2158,"{""config"":""erasure_r50"",""d"":3,""p"":0.0021544346900318843,""r_e"":0.5,""rounds"":3}",
      1024,         6,         0,   0.016,herald_mwpm,598619793ab11a84ccb4ee6e10f9a4c8d0ae0be55919733e28dc416913cee39e,"{""config"":""erasure_r50"",""d"":3,""p"":0.0031622776601683794,""r_e"":0.5,""rounds"":3}",
     11264,        37,         0,   0.013,blind_mwpm,6e5a4ac2ccb4563033a18624d5c27a70e1286b698d77d03607a1cc3afad82413,"{""config"":""erasure_r50"",""d"":3,""p"":0.0021544346900318843,""r_e"":0.5,""rounds"":3}",
      1024,         3,         0,   0.017,herald_mwpm,162b3b6367bfdac10954b563c3b03050cdc3e4d9581f9d29d0322c5fef08dccf,"{""config"":""erasure_r50"",""d"":3,""p"":0.0014677992676220691,""r_e"":0.5,""rounds"":3}",
      1024,         7,         0,   0.014,herald_mwpm,ad0bfc571e2ef2f58042f8be2a3eb605d1fa4bdb0eaf50e9841bf0e57d0c2158,"{""config"":""erasure_r50"",""d"":3,""p"":0.0021544346900318843,""r_e"":0.5,""rounds"":3}",
     15360,        11,         0,   0.018,blind_mwpm,0ebb19866f4ba479349f752983be8205ffe7fe67cad03a780a72bca3d65f7cc6,"{""config"":""erasure_r50"",""d"":3,""p"":0.001,""r_e"":0.5,""rounds"":3}",
     15360,        23,         0,   0.018,blind_mwpm,01b3905bd962662a440b0d052a16ec023f61ecbeccf404f0f582a2c9c99dddbd,"{""config"":""erasure_r50"",""d"":3,""p"":0.0014677992676220691,""r_e"":0.5,""rounds"":3}",
      3072,         3,         0,   0.020,herald_mwpm,74ca0bd2b4524eb8e05724605c51245df32f71bd4b900b26b3effba6a58134dc,"{""config"":""erasure_r50"",""d"":3,""p"":0.001,""r_e"":0.5,""rounds"":3}",
      1024,        10,         0,   0.020,herald_mwpm,598619793ab11a84ccb4ee6e10f9a4c8d0ae0be55919733e28dc416913cee39e,"{""config"":""erasure_r50"",""d"":3,""p"":0.0031622776601683794,""r_e"":0.5,""rounds"":3}",
     16384,        78,         0,   0.018,blind_mwpm,6e5a4ac2ccb4563033a18624d5c27a70e1286b698d77d03607a1cc3afad82413,"{""config"":""erasure_r50"",""d"":3,""p"":0.0021544346900318843,""r_e"":0.5,""rounds"":3}",
      3072,         3,         0,   0.027,herald_mwpm,162b3b6367bfdac10954b563c3b03050cdc3e4d9581f9d29d0322c5fef08dccf,"{""config"":""erasure_r50"",""d"":3,""p"":0.0014677992676220691,""r_e"":0.5,""rounds"":3}",
     24576,        35,         0,   0.025,blind_mwpm,0ebb19866f4ba479349f752983be8205ffe7fe67cad03a780a72bca3d65f7cc6,"{""config"":""erasure_r50"",""d"":3,""p"":0.001,""r_e"":0.5,""rounds"":3}",
     21504,        45,         0,   0.024,blind_mwpm,01b3905bd962662a440b0d052a16ec023f61ecbeccf404f0f582a2c9c99dddbd,"{""config"":""erasure_r50"",""d"":3,""p"":0.0014677992676220691,""r_e"":0.5,""rounds"":3}",
      2048,         2,         0,   0.032,herald_mwpm,ad0bfc571e2ef2f58042f8be2a3eb605d1fa4bdb0eaf50e9841bf0e57d0c2158,"{""config"":""erasure_r50"",""d"":3,""p"":0.0021544346900318843,""r_e"":0.5,""rounds"":3}",
      4096,         4,         0,   0.028,herald_mwpm,74ca0bd2b4524eb8e05724605c51245df32f71bd4b900b26b3effba6a58134dc,"{""config"":""erasure_r50"",""d"":3,""p"":0.001,""r_e"":0.5,""rounds"":3}",
      2048,         9,         0,   0.031,herald_mwpm,598619793ab11a84ccb4ee6e10f9a4c8d0ae0be55919733e28dc416913cee39e,"{""config"":""erasure_r50"",""d"":3,""p"":0.0031622776601683794,""r_e"":0.5,""rounds"":3}",
     24576,        85,         0,   0.027,blind_mwpm,6e5a4ac2ccb4563033a18624d5c27a70e1286b698d77d03607a1cc3afad82413,"{""config"":""erasure_r50"",""d"":3,""p"":0.0021544346900318843,""r_e"":0.5,""rounds"":3}",
      4096,         5,         0,   0.033,herald_mwpm,162b3b6367bfdac10954b563c3b03050cdc3e4d9581f9d29d0322c5fef08dccf,"{""config"":""erasure_r50"",""d"":3,""p"":0.0014677992676220691,""r_e"":0.5,""rounds"":3}",
     42383,        31,         0,   0.028,blind_mwpm,0ebb19866f4ba479349f752983be8205ffe7fe67cad03a780a72bca3d65f7cc6,"{""config"":""erasure_r50"",""d"":3,""p"":0.001,""r_e"":0.5,""rounds"":3}",
      2048,         4,         0,   0.036,herald_mwpm,ad0bfc571e2ef2f58042f8be2a3eb605d1fa4bdb0eaf50e9841bf0e57d0c2158,"{""config"":""erasure_r50"",""d"":3,""p"":0.0021544346900318843,""r_e"":0.5,""rounds"":3}",
     36864,        72,         0,   0.036,blind_mwpm,01b3905bd962662a440b0d052a16ec023f61ecbeccf404f0f582a2c9c99dddbd,"{""config"":""erasure_r50"",""d"":3,""p"":0.0014677992676220691,""r_e"":0.5,""rounds"":3}",
      5120,         8,         0,   0.042,herald_mwpm,74ca0bd2b4524eb8e05724605c51245df32f71bd4b900b26b3effba6a58134dc,"{""config"":""erasure_r50"",""d"":3,""p"":0.001,""r_e"":0.5,""rounds"":3}",
     41359,       163,         0,   0.033,blind_mwpm,6e5a4ac2ccb4563033a18624d5c27a70e1286b698d77d03607a1cc3afad82413,"{""config"":""erasure_r50"",""d"":3,""p"":0.0021544346900318843,""r_e"":0.5,""rounds"":3}",
      3072,        19,         0,   0.040,herald_mwpm,598619793ab11a84ccb4ee6e10f9a4c8d0ae0be55919733e28dc416913cee39e,"{""config"":""erasure_r50"",""d"":3,""p"":0.0031622776601683794,""r_e"":0.5,""rounds"":3}",
      9615,        18,         0,   0.010,blind_mwpm,01b3905bd962662a440b0d052a16ec023f61ecbeccf404f0f582a2c9c99dddbd,"{""config"":""erasure_r50"",""d"":3,""p"":0.0014677992676220691,""r_e"":0.5,""rounds"":3}",
      6417,        43,         0,   0.010,blind_mwpm,4c503f3c76e54b751adbefc19fdfdef8fdb50bc20f5fb283019306400dc4fc2d,"{""config"":""erasure_r50"",""d"":3,""p"":0.0031622776601683794,""r_e"":0.5,""rounds"":3}",
      5120,         5,         0,   0.046,herald_mwpm,162b3b6367bfdac10954b563c3b03050cdc3e4d9581f9d29d0322c5fef08dccf,"{""config"":""erasure_r50"",""d"":3,""p"":0.0014677992676220691,""r_e"":0.5,""rounds"":3}",
      3072,         5,         0,   0.039,herald_mwpm,ad0bfc571e2ef2f58042f8be2a3eb605d1fa4bdb0eaf50e9841bf0e57d0c2158,"{""config"":""erasure_r50"",""d"":3,""p"":0.0021544346900318843,""r_e"":0.5,""rounds"":3}",
     11264,        86,         0,   0.015,blind_mwpm,4c503f3c76e54b751adbefc19fdfdef8fdb50bc20f5fb283019306400dc4fc2d,"{""config"":""erasure_r50"",""d"":3,""p"":0.0031622776601683794,""r_e"":0.5,""rounds"":3}",
      6417,       102,         0,   0.010,blind_mwpm,aa7e97abaec779b566546efe74e0c4b956ae4afa05eaafe04bf3249fe8ffd6be,"{""config"":""erasure_r50"",""d"":3,""p"":0.004641588833612777,""r_e"":0.5,""rounds"":3}",
      9216,       154,         0,   0.014,blind_mwpm,aa7e97abaec779b566546efe74e0c4b956ae4afa05eaafe04bf3249fe8ffd6be,"{""config"":""erasure_r50"",""d"":3,""p"":0.004641588833612777,""r_e"":0.5,""rounds"":3}",
     15360,       128,         0,   0.019,blind_mwpm,4c503f3c76e54b751adbefc19fdfdef8fdb50bc20f5fb283019306400dc4fc2d,"{""config"":""erasure_r50"",""d"":3,""p"":0.0031622776601683794,""r_e"":0.5,""rounds"":3}",
